No,genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
61880,Soundtrack,Justin Hurwitz,Neil Packs,2gRXx0N0jI8d956aPNTx1I,,0.936,0.1,85640,0.0338,0.947,G,0.101,-34.289,Minor,0.044,89.083,0.0346
61881,Anime,Rozen,Gerudo Legend,4vp4tDuuy5BZ32oTWyjNb6,,0.63,0.333,442853,0.423,0.51,G,0.121,-10.902,Minor,0.0307,140.039,0.0882
61882,Soul,The Supremes,Automatically Sunshine,6RDUb0KZc0lnXJqStMgs5k,,0.406,0.716,160200,0.604,0.000147,E,0.203,-9.609,Minor,0.0657,128.579,0.799
61883,Classical,Gustav Holst,"The Planets, Op. 32: VII. Neptune, the Mystic",55ZAZQhpDVTHTJVOeZQsM7,,0.92,0.117,486120,0.0028,0.801,E,0.128,-44.046,Major,0.0398,67.812,0.0287
61884,Classical,Johann Sebastian Bach,"St. John Passion, BWV 245, Pt. 2: No. 39, Ruht wohl, ihr heiligen Gebeine",4GkTUK8qKelzg49wmE4dx3,,0.98,0.11,411719,0.117,0.427,B,0.108,-23.435,Minor,0.0435,169.011,0.134
61885,Comedy,Ryan Stout,One Arm,7cODbpzMKydq9JWr2dnZTj,,0.803,0.516,251773,0.862,0.00000321,B,0.816,-8.817,Major,0.932,78.486,0.332
61886,Children's Music,Kimbo Children's Music,Get Yourself Movin' Around,0G8XkuNZq5yuFdVpEIwbpI,,0.576,0.88,124480,0.422,0,F,0.27,-13.217,Major,0.0879,121.917,0.782
61887,Children's Music,Dan Zanes,Country Life,4V4j3lwG9vz9aDCYKObQUq,,0.869,0.638,177787,0.31,0,C,0.321,-10.213,Major,0.0396,121.072,0.926
61888,Children's Music,Enzo Garcia,Molly Malone,0gbd1O8HsjKns1BcIbEiZB,,0.91,0.491,174427,0.0856,0.0131,D,0.129,-16.461,Major,0.0352,136.339,0.418
61889,Opera,Tomaso Albinoni,"Il penar senza speranza, T. 204 No. 9: No. 3, Non vo più seguir Cupido",29h5Piw7OA6buUWgIhWkpT,,0.943,0.29,180400,0.21,0.00000121,A#,0.179,-14.114,Minor,0.0469,176.865,0.486
61890,Blues,Bigg Robb,Sugar Shack (Line Dance Remix) (feat. Mz Jackson),6qyKoY9CfXWP8arx6JDum6,,0.177,0.967,290240,0.666,0.000748,G,0.0512,-4.065,Major,0.161,116.013,0.897
61891,Anime,Mrs. GREEN APPLE,WanteD! WanteD! - KERENMI Remix,0LpSmUNpyQne8qOzCBoayo,,0.0349,0.625,229573,0.897,0.000716,A,0.115,-2.452,Minor,0.0642,160.002,0.47
61892,Country,Tenille Arts,Cold Feet,5y2KmB9m8alVWvoSrocKSW,,0.848,0.458,206840,0.358,0,C#,0.126,-7.115,Major,0.0286,145.747,0.208
61893,Comedy,Tommy Ryman,How to Propose,661rOyDIStY1xziFI9hZMH,,0.793,0.619,111267,0.71,0,C#,0.932,-7.372,Minor,0.871,103.744,0.702
61894,Anime,MAN WITH A MISSION,Fly Again 2019,4nb2p8Vf2iSrFfebeUTDGw,,0.000764,0.53,257533,0.973,0,E,0.0677,-4.5,Minor,0.144,140.992,0.342
61895,World,Bryan & Katie Torwalt,Spirit Of The Living God,1IYKjbQBMJn28D3Gyg4j1d,,0.118,0.498,256187,0.618,0.00345,C,0.119,-8.612,Major,0.0328,123.03,0.0834
61896,Reggae,Bob Marley & The Wailers,Jammin' - Live At One Love Peace Concert,3YzrfyCgbGiBUzZyMNXBX6,,0.232,0.625,548507,0.762,0.00238,C#,0.67,-7.042,Major,0.279,139.212,0.783
61897,Blues,Shovels & Rope,Gasoline,5WvJAYh7Nm5SLu5NCp3Au1,,0.449,0.619,136187,0.652,0,G,0.0761,-4.299,Major,0.0441,78.138,0.727
61898,Classical,Bloodbound,Nosferatu,5WEqHNtlbM2mv4k7u9DB4Y,,0.000181,0.19,383627,0.859,0.0000715,G,0.351,-5.297,Minor,0.064,72.39,0.153
61899,Children's Music,The Hit Crew Kids,Hot Cross Buns,39VrphJ67QSVodEugHmM80,,0.465,0.887,46467,0.482,0,C,0.151,-12.383,Major,0.0558,125.336,0.815
61900,Anime,Nayutalien,Dance Robot Dance,5qMBYiFhO2VBlc1jhtU43K,,0.0305,0.64,191053,0.957,0,D,0.0266,-1.038,Major,0.102,95.01,0.548
61901,Soundtrack,Sarah Schachner,Blackshore,20fkopvizmYOGh9pm9NvUa,,0.331,0.198,170107,0.39,0.886,C#,0.139,-14.026,Major,0.0366,100.67,0.0312
61902,Country,Gary Allan,Bones,286avT1hvl1uDHyJnvirxb,,0.0442,0.537,233787,0.741,0.0000745,C,0.0943,-5.595,Major,0.0532,90.923,0.341
61903,Comedy,Stephen Lynch,Priest,4Ms3UirR4tnSvtpYNrm802,,0.728,0.522,251800,0.499,0,B,0.107,-8.733,Minor,0.0353,114.707,0.218
61904,Opera,Gioachino Rossini,"The Barber of Seville, Act I Scene 2: Ah, disgraziato Figaro! (Bartolo, Rosina, Berta, Ambrogio)",1Ml6AhAivu3H7hYNnBVzzz,,0.939,0.562,109040,0.189,0,F,0.14,-25.027,Major,0.537,112.365,0.237
61905,Soundtrack,Henry Jackman,Hydra,2Jw9Ne7jUR0EfvXSIK4Faw,,0.7,0.183,407080,0.0133,0.935,C,0.0919,-29.949,Major,0.0386,145.908,0.0286
61906,Country,Jameson Rodgers,Rehab,06DBnaSMy7wcoZ5Exu5xn0,,0.106,0.55,170156,0.832,0,C#,0.102,-5.089,Major,0.0355,102.012,0.469
61907,Blues,Jack White,Jack White on 'Help Me Stranger',7u08LNnJxQ50z9lGco5CJ0,,0.559,0.621,31031,0.176,0,E,0.425,-27.42,Major,0.927,103.304,0.962
61908,Jazz,The Brothers Johnson,I'll Be Good To You,1mo1tQypPi59Unv8vWuNbL,,0.451,0.769,288093,0.671,0.000441,B,0.0991,-11.77,Minor,0.0403,98.251,0.932
61909,Comedy,Andrew Dice Clay,A+ - Live At Dangerfield's/1989,31RmJXtdyj3W7M8Trhac78,,0.733,0.538,166560,0.283,0,A,0.899,-20.151,Minor,0.939,75.68,0.422
61910,Comedy,"""Weird Al"" Yankovic","Do I Creep You Out (Parody of ""Do I Make You Proud"" by Taylor Hicks)",25bu6rqqBZrYXuLaZaCzVs,,0.179,0.564,166520,0.419,0,C#,0.707,-10.8,Major,0.0323,144.013,0.287
61911,Jazz,Animals As Leaders,Earth Departure,7a4YErm5cYs3ZLUndwp2pr,,0.0000298,0.346,310373,0.965,0.864,A,0.155,-5.75,Major,0.125,112.746,0.317
61912,Electronic,Dillon Francis,Bootleg Fireworks (Burning Up) - Continuous Mix,1m3AVS2PNbMDew4rT1idA0,,0.157,0.597,34059,0.85,0.763,A,0.869,-2.872,Major,0.029,112.609,0.97
61913,Children's Music,Kimbo Children's Music,I Wish I Were a Windmill,784IyrAr5wYqvqIaNLE7vT,,0.757,0.832,70800,0.236,0,B,0.0788,-16.086,Major,0.0579,152.631,0.795
61914,Electronic,Sneaker Pimps,Loretta Young Silks,0t0LzlSz3TQqFlrCm7HeSt,,0.0756,0.703,358493,0.618,0.0159,A,0.164,-6.571,Minor,0.0583,97.252,0.731
61915,Comedy,George Carlin,Keeping People Alert,49RFWI9owz5Pk5RwAR2ley,,0.79,0.46,671093,0.912,0,D,0.7,-15.815,Major,0.918,82.961,0.036
61916,Electronic,Dubloadz,Cuck Life,5HiDJXpJGwJizJ68M31Ld5,,0.0159,0.682,313600,0.951,0.000993,C#,0.631,0.118,Major,0.25,150.064,0.548
61917,Reggae,Sublime,Shame In Dem Game - Rarities Version,7niuxA1jR2huOEFPHWDruF,,0.0734,0.451,384400,0.668,0.00791,D,0.122,-7.48,Major,0.0999,75.162,0.806
61918,Soundtrack,Anne Dudley,A Blood Red Moon,6m8SxHqyT6niPMSVM9yRm1,,0.721,0.139,231547,0.132,0.358,A,0.151,-15.755,Major,0.0396,81.786,0.031
61919,Folk,Johnnyswim,You and I,4fxNwAXn8J9LNi5Rz8eMIv,,0.193,0.433,222920,0.772,0.00000176,C,0.0952,-6.069,Minor,0.0592,200.093,0.674
61920,Ska,Rancid,"You Want It, You Got It - Acoustic",1yhfp7YIbuRR2adNLw5gXV,,0.218,0.582,132347,0.833,0.00000342,D,0.225,-5.214,Major,0.107,164.86,0.738
61921,Blues,Three Dog Night,Eli's Coming,2clEJgdfdimThOKib9N9ZM,,0.325,0.303,160147,0.639,0.00012,A,0.169,-11.253,Minor,0.0907,169.169,0.451
61922,Movie,Bernard Minet,Capitaine Sheider,6DrknVzLIklYCFDqV61mAP,,0.431,0.672,52933,0.881,0,A,0.345,-5.099,Major,0.0355,134.956,0.799
61923,Blues,The Dead Weather,3 Birds,7nhbpF7wX6GLiVHSbPuZFA,,0.0867,0.479,224520,0.83,0.813,G,0.34,-7.882,Major,0.0453,117.754,0.492
61924,Movie,Henri Salvador,Come Prima,3pifSmwG3n99RRzQSmJQ5d,,0.708,0.687,120173,0.494,0,F,0.239,-6.344,Major,0.178,88.796,0.734
61925,Country,Charlie Robison,Good Times,0ewmYPbsRMQiHAjUPjmuf2,,0.00997,0.626,236360,0.634,0,E,0.378,-7.424,Major,0.0289,84.005,0.891
61926,Anime,Azusa,I Love,1dn81uNv9YaiSkcN4ed0Ib,,0.276,0.732,263587,0.634,0,G#,0.0813,-10.787,Major,0.0313,95.022,0.699
61927,Blues,The Chantels,The Plea,6NyVLI2CLX14jJ5rbEbEvj,,0.43,0.59,176960,0.401,0.000125,G,0.145,-8.775,Major,0.0341,70.6,0.372
61928,Movie,Dorothée,Plantons la vigne,3ey4CEMFptL5R3iiUpwIcS,,0.95,0.727,118770,0.395,0,A,0.18,-12.767,Major,0.0461,126.241,0.897
61929,Country,Colt Ford,Ride Through The Country Featuring John Michael Montgomery,5bjxmhNpDIORD10SmkNDrM,,0.472,0.641,274320,0.618,0,G#,0.112,-8.611,Major,0.218,172.096,0.686
61930,Opera,Alfredo Kraus,Granada,1NP90RbdEW1QfvWKCA02Gt,,0.95,0.187,265933,0.322,0.000192,E,0.0812,-10.231,Major,0.0346,57.891,0.454
61931,Jazz,Joe Lovano,Early Autumn,50f5wKkUWEQoiro9Bt0OVr,,0.965,0.524,451440,0.153,0.759,A#,0.334,-18.624,Major,0.0528,72.248,0.326
61932,Comedy,Dan Cummins,Elevator Game And More,6Vo5dS1FQ1dmS4o9g38jac,,0.845,0.575,121467,0.712,0,F,0.796,-12.868,Minor,0.861,125.113,0.433
61933,Classical,Johann Sebastian Bach,"Unaccompanied Cello Suite No. 6 in D Major, BWV 1012: V. Gavottes I & II",2PtC5fltRxIgP7sPyEjSoX,,0.982,0.38,218280,0.0382,0.948,D,0.241,-24.376,Major,0.055,78.558,0.582
61934,Ska,Mustard Plug,Mendoza,0HMYZNbHHwv82FQreiUbUV,,0.0673,0.562,168880,0.935,0.0159,D,0.0619,-5.573,Major,0.0683,89.689,0.857
61935,Blues,Phish,Tweezer Reprise - Live,1mStkCMWfDjS1rrR8fZSXo,,0.0188,0.202,273640,0.984,0.146,G,0.96,-6.073,Major,0.163,95.654,0.136
61936,Ska,The Slackers,Don't Forget the Streets,27VesUmTK3hS07dcNhJbdI,,0.056,0.644,206413,0.791,0.000175,F,0.166,-5.98,Major,0.0303,137.57,0.961
61937,Soundtrack,Craig Armstrong,That Night He Told Me Everything,0EWpOeNzV7hUegPAuvP6iA,,0.654,0.125,290453,0.0801,0.93,C,0.11,-26.576,Major,0.045,72.835,0.0356
61938,Comedy,Brian Posehn,Brutal Roast,0WDMoD7YhJZ65r5eC8b9ld,,0.699,0.606,327090,0.383,0,B,0.324,-15.128,Minor,0.963,77.083,0.27
61939,World,Sinach,I Stand Amazed (Live),0544EK1JJF4rBb2DREyn26,,0.349,0.351,444630,0.95,0,F#,0.972,-3.986,Major,0.0922,157.901,0.4
61940,Comedy,Stephen Lynch,Lorelei,4jRla77nTV5VyTT7XU8NGL,,0.952,0.487,296133,0.139,0.0000327,D,0.106,-10.923,Major,0.0282,93.158,0.127
61941,Ska,Dead Kennedys,Buzzbomb,5TGDbGkn5hWchbPmsEec0H,,0.000122,0.314,141804,0.982,0,B,0.237,-4.756,Minor,0.112,139.931,0.486
61942,Reggaeton,"Wise ""the Gold Pen""",Necesito De Ti (feat. De La Ghetto),1hBjgqQ5Afjmp2JmFdnzSJ,,0.238,0.59,222707,0.849,0,A,0.293,-3.711,Major,0.042,184.001,0.552
61943,World,Bluetech,Forgotten Empires Never Forget,3TKvD8kF23lMZG8CL1H3Ub,,0.0905,0.669,316706,0.708,0.937,G,0.0717,-8.897,Major,0.0324,99.992,0.543
61944,Folk,"Right Away, Great Captain!","Love, Come And Save Me",4pfQLkCEKxD9Z40ijuNG9N,,0.954,0.66,199506,0.105,0,G,0.112,-20.306,Major,0.0414,113.798,0.194
61945,Reggae,G. Love & Special Sauce,Milk And Sugar,3w7l4mM7S4AKos4BPlCk0W,,0.743,0.587,197947,0.734,0.000108,C,0.0906,-5.295,Major,0.0329,103.765,0.682
61946,Electronic,Vitalic,Waiting for the Stars (feat. David Shaw),6CHEXrXeVRpBZdJMSK7Pgv,,0.00204,0.687,232833,0.678,0.0929,A,0.363,-7.134,Minor,0.181,115.979,0.747
61947,Anime,Yoshida Brothers,Kohjyo No Tsuki,1ginj3dFZOTgYHSRPuramj,,0.816,0.39,263613,0.0622,0.857,C,0.083,-15.428,Minor,0.0521,175.241,0.238
61948,Country,Kenny Chesney,"No Shoes, No Shirt, No Problems - Live",5t8UTyE6j6CHeCYinFa2tl,,0.081,0.518,213027,0.94,0.0006,G,0.861,-5.943,Major,0.054,118.392,0.565
61949,Classical,Robert Schumann,"Symphonic Etudes for Piano, Op. 13: Étude VI. Agitato",483BTYwiUgweiLbxSjI4zb,,0.992,0.117,56120,0.368,0.886,F#,0.131,-14.145,Minor,0.0331,157.225,0.568
61950,Opera,Richard Wagner,"Götterdämmerung, WWV 86D, Act I: Orchesterzwischenspiel",3nic33eBOBX6bYlTQ7F77k,,0.918,0.167,356080,0.0113,0.902,A,0.224,-27.718,Minor,0.0476,127.098,0.0313
61951,Opera,Vincenzo Bellini,"Norma / Act 1: Va, crudele, al Dio spietato",2SNjB3lFlTubiL3Vi0PORa,,0.971,0.328,530293,0.202,0,G#,0.349,-16.49,Major,0.0593,88.677,0.229
61952,Opera,Georges Bizet,"L'Arlésienne Act 2 ""Alongside The Pond Of Vaccarès In the Camargue"": VII. Melodrame 6",1fVmCbWD3sJmifjO7dqdTB,,0.944,0.123,49173,0.00281,0.143,F,0.0772,-43.657,Major,0.0411,96.491,0.0794
61953,Reggae,E.N Young,Inspiration,2t2WignGfNdnnb2yYwZO4S,,0.0258,0.722,233294,0.686,0.000277,G,0.0668,-5.903,Minor,0.0568,160.075,0.537
61954,Electronic,Monetochka,??????????,5Ni187gYCgJG90rGfMX7CY,,0.369,0.89,160886,0.404,0.000159,B,0.088,-9.159,Minor,0.0747,110.031,0.526
61955,Reggaeton,Marielle Hazlo,Algo Mejor Que Tú,4Mr7F67AgBFgVf9kqGNYON,,0.214,0.785,210001,0.636,0,F#,0.0625,-6.461,Minor,0.0456,99.003,0.557
61956,Movie,Randy Newman,Mama Told Me Not to Come,6uYrDQX0lNmeM9di1B5rAI,,0.836,0.616,130680,0.538,0.0039,C,0.45,-10.587,Major,0.028,130.059,0.898
61957,Electronic,DJ Krush,Kuon / Far and Away,3x7rZpejhzTFAEGZiQb49n,,0.546,0.608,303977,0.368,0.869,C,0.0896,-10.619,Major,0.0357,85.962,0.608
61958,Opera,Giuseppe Verdi,"I Lombardi alla prima crociata, Act I: Parricida! (Live)",5cIz5SIamDFqFti4VpPqpW,,0.977,0.397,169557,0.476,0.000084,G,0.793,-15.202,Major,0.142,97.455,0.205
61959,Children's Music,The Montreal Children's Workshop,"""Whistle While You Work"" Snow White and the Seven Dwarfs",6m1PwE2eNSvbIfV2CAlSfF,,0.032,0.72,150999,0.698,0.887,C,0.0854,-7.118,Major,0.121,119.719,0.966
61960,Movie,Karine Costa,Take Me Away,2ygin6SYCSjlmS43esoxgy,,0.244,0.54,250667,0.784,0,G#,0.337,-6.759,Minor,0.0357,135.989,0.398
61961,Children's Music,Children Songs Company,The Jolly Coppersmith,0nwkFur80oTntn88YhnbRs,,0.995,0.559,183107,0.19,0.829,D#,0.165,-9.314,Major,0.146,77.729,0.765
61962,Movie,Randy Newman,Change Your Way - Soundtrack Version,2IB6VYBXETeSxzUVI2o5tE,,0.923,0.703,121000,0.13,0.0000221,D,0.13,-23.513,Major,0.0451,71.72,0.626
61963,Jazz,Oscar Peterson,Ode to Billy Joe - Remastered,2VnrlK8fagFRb1SF6p0S6g,,0.701,0.631,159993,0.607,0.28,G#,0.0791,-12.355,Major,0.0363,112.714,0.836
61964,R&B,Gallant,Shotgun,4qctId6dp776tdZIorMVcU,,0.0443,0.432,197587,0.63,0,C,0.132,-6.689,Major,0.0539,78.83,0.462
61965,Opera,Georges Bizet,Carmen: Act I: Quels regards! quelle effronterie!,0euyqEci72iu4ZYq0vjdXL,,0.98,0.34,64533,0.228,0.00214,G#,0.785,-18.073,Minor,0.0783,73.02,0.17
61966,Anime,Joe Hisaishi,GHIBLI MEDLEY,52XyQIT6XOCt20ojtRhzH7,,0.951,0.273,487667,0.128,0.928,C,0.127,-17.724,Minor,0.0358,109.163,0.118
61967,Jazz,Willie Colón,Sin Poderte Hablar,3RileNFiDhL7uHD7f7LrnI,,0.14,0.389,324333,0.656,0,F,0.55,-6.845,Minor,0.0509,102.303,0.581
61968,Opera,Giuseppe Verdi,"""Presago il core della tua condonna""",7iGw4bzJWYC0AKy2elXjs7,,0.974,0.239,243758,0.104,0.000203,G#,0.234,-20.195,Major,0.0556,175.737,0.108
61969,Opera,Richard Wagner,"Götterdämmerung, WWV 86D, Act II (Highlights): Hoiho! Hoihohoho!",69LHkS4Yh8IwcFm01xLXaY,,0.942,0.306,92187,0.376,0.533,C,0.168,-17.902,Minor,0.0414,121.434,0.206
61970,Electronic,Thievery Corporation,Sol Tapado (The Covered Sun) featuring Patrick de Santos,6T00DGcPnPLLxuHwROXxnu,,0.0813,0.745,237533,0.77,0.284,D,0.0489,-7.805,Minor,0.0484,82.532,0.971
61971,Country,Old 97's,Every Night Is Friday Night (Without You),0EDIRMxCC8ByrL1Tk0LP7H,,0.000278,0.594,165107,0.908,0.00036,D,0.0788,-5.158,Major,0.0422,121.714,0.876
61972,Opera,Léo Delibes,"Lakmé: Blumenduett (Lara Croft Tomb Raider): Lakme: Dome epais, le jasmin (Flower Duet)",5mQe3MInmp30imyqE8U0ta,,0.968,0.224,334800,0.0427,0.00000319,B,0.102,-24.141,Major,0.054,170.675,0.039
61973,Electronic,Thievery Corporation,Doors of Perception featuring Gunjan,0BZaQ6SYMgGEz1lmgRB9uK,,0.386,0.395,196333,0.474,0.765,G,0.581,-10.462,Minor,0.0315,127.893,0.303
61974,Ska,Reel Big Fish,Walter's Highlife,15sNrvlqckzBGqBb6qx6s1,,0.281,0.738,252056,0.803,0.0106,A,0.251,-6.107,Major,0.0626,112.912,0.963
61975,Reggae,Inner Circle,"Tenement Yard (News Carrying Dread) [feat. Chronixx, Jacob Miller] - 2015 Remix",3lP6Pn2cw6ncmhDZ3Kfkxl,,0.127,0.851,260027,0.544,0.0000117,A,0.0798,-5.563,Major,0.0725,139.916,0.805
61976,Blues,Three Dog Night,An Old Fashioned Love Song,5RiLHDGPrVvAEtpvICiqYM,,0.457,0.46,230693,0.498,0.0122,F,0.0817,-12.687,Major,0.0358,101.419,0.831
61977,Country,Chris Young,You're Gonna Love Me,7HLbmbeAqc22XkTAEwPnT6,,0.359,0.602,176920,0.667,0,D,0.186,-5.214,Major,0.0349,176.721,0.817
61978,Comedy,Nick Di Paolo,Obama,0JTBbFUHf2NR2hhyrXqp5d,,0.683,0.601,173129,0.849,0,A,0.829,-10.197,Major,0.948,99.269,0.246
61979,Soul,Mint Condition,If You Love Me,3VZMAx8GdrO73kvTZDD8rU,,0.606,0.442,385720,0.585,0.0000585,F#,0.185,-6.012,Major,0.0305,118.736,0.233
61980,Dance,Miguel,Banana Clip - Spanish Version,3sZB7cAJkbVkeWz1dMJ2Sy,,0.107,0.398,202373,0.66,0,C#,0.121,-5.626,Minor,0.12,83.828,0.719
61981,Electronic,Tosca,Orozco,7amv42nfF6VsxW1S999wtZ,,0.236,0.864,325160,0.687,0.903,G#,0.112,-9.18,Major,0.043,100.499,0.58
61982,Movie,Idoles De La Musique,Aimer Jusqu'a L'impossible,736ey8x36nGomTZZZ9KnzX,,0.125,0.497,203380,0.599,0.000178,B,0.198,-7.688,Minor,0.0303,96.976,0.321
61983,Reggae,G. Love & Special Sauce,Ain't That Right,1wNILW0TFHykGcQ5JHTD6U,,0.0552,0.814,234240,0.644,0.00000408,G,0.0482,-7.339,Major,0.0757,91.67,0.907
61984,Reggaeton,Pacho El Antifeka,Grandes Ligas,3fKmJi7v0mqGNlddzGMXN5,,0.205,0.676,264645,0.637,0,D,0.0901,-6.929,Major,0.098,124.934,0.48
61985,Opera,Johann Adolf Hasse,"Antonio e Cleopatra : Morte, col fiero aspetto",5bRbStdRJekooqmrsu1zDz,,0.951,0.48,248880,0.388,0.000846,B,0.068,-12.41,Minor,0.0485,127.008,0.468
61986,Electronic,Vincent,Jinx,12HQGqVg6rrAR2In7gnCsG,,0.00968,0.524,201600,0.735,0.00464,B,0.0747,-6.837,Major,0.0507,75.011,0.263
61987,Movie,Adam Jacobs,I Could Be That Guy,4uP5vuXP1LQQ71hM3vqagt,,0.639,0.587,297267,0.526,0.00000337,C#,0.115,-7.165,Major,0.0395,109.137,0.331
61988,Anime,Mili,Red Dahlia,3e3RJprC6Tdqdvp7KjCG1f,,0.816,0.487,137546,0.259,0.000563,C,0.131,-10.441,Minor,0.0291,107.899,0.314
61989,World,Hillsong UNITED,An Introduction - Live,0LwL3jo1nKuEGhaBMJil6j,,0.00000257,0.294,92480,0.863,0.817,A,0.623,-7.571,Major,0.0392,147.038,0.118
61990,Comedy,Big Jay Oakerson,Front Row Roundup,294whx9MekUVXhIPZCRzhU,,0.882,0.389,309162,0.858,0.00000693,C#,0.741,-10.033,Minor,0.895,86.928,0.569
61991,World,Mulatu Astatke,Addis Black Widow,0MSug66xsUCyjOK82R8jXL,,0.0952,0.609,218987,0.886,0.702,C#,0.139,-5.318,Minor,0.0338,144.24,0.843
61992,Opera,Richard Wagner,"Das Rheingold, WWV 86A / Erste Szene: ""Lugt, Schwestern! Die Weckerin lacht in den Grund""",6Eks8SSDEXEud4LZuaeGEg,,0.95,0.25,247707,0.159,0.0000153,C,0.659,-18.924,Major,0.0598,76.594,0.0803
61993,Classical,Johann Sebastian Bach,"St. John Passion, BWV 245, Pt. 2: No. 27a, Die Kriegsknechte aber",32I2u0bGG7qVUyuBcr6Gdm,,0.925,0.484,36420,0.0697,0,C#,0.526,-28.395,Minor,0.0518,101.668,0.471
61994,Ska,Los Skarnales,Para Andar Igual,6TOnvwLPwT71WAXzeR1haR,,0.0243,0.368,202413,0.951,0.000638,E,0.222,-3.582,Minor,0.0613,104.11,0.69
61995,World,Leonardo Gonçalves,Yerushalayim shel zahav,3fxctBk75mKKkel5y8lt5m,,0.95,0.343,291000,0.204,0.0000125,E,0.125,-12.832,Minor,0.029,81.986,0.359
61996,Jazz,Joachim Kühn,Lonely Woman - Rambling,0SXdPqNNRmTzXkGIufCBv2,,0.923,0.39,286253,0.15,0.847,D,0.108,-17.702,Minor,0.0364,78.531,0.0663
61997,Anime,Yuki Hayashi,??,0DEvv7tsnQ7wtHw3lnN8AP,,0.866,0.168,135080,0.139,0.563,C,0.115,-14.107,Minor,0.0385,86.132,0.103
61998,Reggaeton,"Juno ""The Hitmaker""",Lo Que Quiere,0t5cMMVEmbaRZhyq6Hcwq9,,0.264,0.704,226200,0.715,0.00000398,F#,0.0713,-7.122,Minor,0.0538,184.069,0.649
61999,Ska,South Central Skankers,Once Upon a Time,4zqjHqRvxjDaG8qPjnW7YH,,0.000469,0.571,173585,0.771,0.00321,G,0.106,-3.694,Minor,0.0253,140.008,0.882
62000,Ska,Me First and the Gimme Gimmes,Mona Lisa,1x2nHQNccO4FwLdrdHx01j,,0.0122,0.321,170360,0.541,0,C,0.0785,-6.891,Major,0.047,101.356,0.286
62001,Movie,Randy Newman,Burning Down The House - Meet The Parents/Soundtrack,4Em2k0iCXaVvz89qmI646j,,0.915,0.196,116000,0.241,0.626,C,0.146,-15.113,Major,0.0554,205.992,0.122
62002,Anime,Kevin Penkin,Three Heros Church,0Ss48yGLExl0x4eBK9QPPp,,0.138,0.227,252800,0.439,0.735,C,0.0949,-10.812,Minor,0.039,123.518,0.0624
62003,Ska,Face To Face,Sensible,1pFnubcqYzGNXNS3hc7Yli,,0.0000589,0.484,178133,0.868,0.0000697,D,0.268,-5.414,Major,0.0375,99.136,0.292
62004,Reggaeton,Farruko,Recuérdate,6bfy3rvsbqNLBUppXRSmfH,,0.146,0.589,219984,0.785,0,A#,0.0863,-3.729,Major,0.034,169.934,0.535
62005,Reggaeton,Juanka,Mi Recuerdo - Remix,7t0rQsKg8VxOfl6mqIZ9bc,,0.261,0.783,257184,0.736,0,F,0.41,-4.164,Minor,0.124,83.966,0.837
62006,Reggaeton,Don Omar,CO2,7bZJjkxbv8eOosFB4rEnvJ,,0.189,0.703,180773,0.835,0,C#,0.152,-4.049,Major,0.31,184.14,0.719
62007,Reggaeton,Ele A El Dominio,Si Mi Mai Me Llora,7dU0iafsnmpo9KrQBHILsu,,0.547,0.731,219475,0.428,0.000296,C,0.249,-12.246,Minor,0.203,139.989,0.481
